EmployeeID,Name,Email,Department,JobTitle,JoinDate,SalaryUSD,PerformanceScore,LeaveDaysTaken,TrainingsAttended,Resigned,ResignationDate
1,Timothy Contreras,vanessamckay@lyons-ray.org,HR,Recruiter,10/8/2022,72466.89,3,0,1,No,
2,Shahadat Hossen Shoumik,shahadatceo@gmail.com,C-Level,CEO,7/15/2020,98730.1,2,16,4,No,
3,Timothy Gutierrez,fieldsdouglas@hotmail.com,Finance,Finance Manager,3/17/2021,74623.11,10,30,4,No,
4,Tammy Salinas,russell27@hotmail.com,C-Level,CEO,5/4/2022,115806.22,10,24,5,No,
5,Andrew Long,lorihernandez@kennedy.com,Marketing,Content Strategist,4/22/2024,83605.85,10,5,5,No,
6,Colleen Mckinney,vtaylor@cruz.net,Engineering,Software Engineer,2/28/2022,82935.13,2,22,0,No,
7,Kevin Wilkerson,randy10@hotmail.com,Finance,Accountant,4/27/2023,39075.12,4,14,3,No,
8,Matthew Roberts,wandrade@mendez-alexander.com,Marketing,Content Strategist,3/4/2022,116630.29,7,17,2,No,
9,Amber Hunt,tuckertammy@yahoo.com,Marketing,SEO Specialist,9/20/2022,57988.12,3,28,3,No,
10,Tyrone Perez,agreen@butler.net,Engineering,Software Engineer,8/15/2021,70505.18,1,0,0,No,
11,Kimberly Allen,andreataylor@hotmail.com,C-Level,CEO,3/1/2024,102256.71,9,14,2,No,
12,Matthew Ellis,feliciasparks@yahoo.com,HR,HR Manager,7/19/2022,61665.36,2,5,1,No,
13,Anthony Garner,kochdylan@scott.com,HR,Recruiter,10/3/2022,115984.41,5,5,3,No,
14,Natalie Gonzales,doylemichelle@brady.org,Engineering,DevOps Engineer,12/4/2022,91061.66,1,14,1,No,
15,William Morrison,julia09@raymond-jackson.com,HR,HR Manager,9/10/2020,61033.57,6,14,0,No,
16,Daniel Flores,christine43@johnson.com,Finance,Financial Analyst,9/22/2022,30841.41,3,10,4,No,
17,Jennifer Petersen,don72@gmail.com,Engineering,Software Engineer,7/19/2022,61110.79,5,13,3,No,
18,Lisa Weaver,christopher66@gmail.com,HR,HR Assistant,8/29/2022,142245.83,8,0,2,No,
19,Brittany Moore,amber90@gutierrez-long.com,Marketing,SEO Specialist,11/1/2023,61148.45,6,16,5,No,
20,Scott Holland,thompsonjuan@neal-collins.biz,Finance,Finance Manager,6/12/2021,51128.15,5,28,3,No,
21,Judy Gonzalez,kennethmitchell@meyer.com,Marketing,SEO Specialist,4/28/2023,45942.9,5,1,2,No,
22,Kristina Johnson,fmurphy@hotmail.com,C-Level,CEO,2/20/2023,50608,10,19,1,No,
23,John Johnson,pennyshah@martin.com,HR,HR Manager,12/12/2022,122025.92,9,1,5,No,
24,Dustin Brown,alexispalmer@yahoo.com,Finance,Finance Manager,9/2/2021,78642.33,9,16,1,No,
25,Mark Parker,miguelosborne@hotmail.com,Finance,Financial Analyst,5/22/2022,119574.41,9,17,2,No,
26,Erica Rubio,kathyromero@hotmail.com,C-Level,CFO,11/9/2023,71933,8,19,0,No,
27,Charles Smith,garciaheidi@yahoo.com,Marketing,Marketing Manager,1/8/2021,69818.4,2,26,1,No,
28,Jill Schmitt,kennethhunt@ford.info,C-Level,CEO,9/12/2020,31757.62,7,10,3,No,
29,Brianna Zavala,kristin68@wilson-mann.com,Marketing,SEO Specialist,2/11/2024,63977.04,2,15,3,No,
30,Todd Baker,longnathan@lyons.com,HR,HR Manager,2/11/2024,63443.88,4,10,5,No,
31,Michael Wiley,davidnorman@gmail.com,Marketing,Marketing Manager,11/10/2020,58036.99,1,22,1,No,
32,Elizabeth Fitzpatrick,madison08@stone.net,C-Level,CEO,3/2/2024,43635.35,10,23,2,No,
33,David Murphy,brianpatton@lara-smith.com,Engineering,Data Scientist,8/30/2023,149031.06,10,9,3,No,
34,Larry Brown,bobbyjimenez@yahoo.com,HR,Recruiter,7/30/2021,96075.32,1,12,5,No,
35,Karen Daniels,smckay@gmail.com,HR,Recruiter,6/16/2023,120767.19,7,23,5,No,
36,Benjamin Greene,ashley54@hansen.org,HR,Recruiter,1/20/2022,34815.28,6,15,5,No,
37,Teresa Jones,suzanne57@anderson.com,Marketing,Content Strategist,11/2/2023,103651.43,3,5,4,No,
38,Kelly Garcia,valerie08@strickland-holt.com,Marketing,Marketing Manager,9/11/2020,69037.28,9,4,2,No,
39,Colleen Fischer,cantubrent@walker-lewis.com,Marketing,Marketing Manager,7/20/2020,47460.2,3,5,3,No,
40,Justin Yoder,brandonholland@yahoo.com,C-Level,CTO,3/30/2022,89558.35,8,3,1,No,
41,Samantha Barajas,angelarivera@hotmail.com,Engineering,Data Scientist,3/11/2024,38296.12,3,27,5,No,
42,Scott Miller,daniel87@yahoo.com,Marketing,Content Strategist,5/17/2022,89424.5,3,26,2,No,
43,Andrew Brown,xmitchell@hotmail.com,Marketing,Content Strategist,9/9/2020,39896.63,1,6,2,Yes,8/1/2024
44,Cassidy Griffith,mcgrathkatherine@yahoo.com,HR,HR Manager,3/13/2023,92537.61,5,3,4,No,
45,Chad Mathis,jennifertaylor@hotmail.com,HR,HR Assistant,1/9/2022,41829.82,2,7,4,No,
46,Madison Hicks,rforbes@gmail.com,Engineering,DevOps Engineer,7/16/2021,83738.15,1,8,0,No,
47,Kristen Arnold,woodjane@gmail.com,Finance,Financial Analyst,9/16/2021,66204.87,4,18,4,No,
48,Sonya Kline,wongzachary@barrett.net,Finance,Finance Manager,2/9/2021,129318.67,10,7,4,No,
49,Jessica Lewis,brian70@cunningham.net,Marketing,Marketing Manager,9/5/2020,37995.08,9,12,2,No,
50,Nicholas Miller,andrewtran@bonilla.com,C-Level,CFO,4/13/2024,65508.2,2,30,0,No,
